course_name,instructor_name,purchase_count,rating,commment_count,5_point,4_point,3_point,2_point,1_point
(50+ Saat) Python A-Z™: Veri Bilimi ve Machine Learning,Veri Bilimi Okulu,17380,4.8,4621,3466,924,185,46,6
Python: Yapay Zeka ve Veri Bilimi için Python Programlama,Veri Bilimi Okulu,48291,4.6,4488,2962,1122,314,45,45
5 Saatte Veri Bilimci Olun (Valla Billa),Instructor_1,18693,4.4,2362,1582,567,165,24,24
R ile Veri Bilimi ve Machine Learning (35 Saat),Veri Bilimi Okulu,6626,4.6,1027,688,257,51,10,21
(2020) Python ile Makine Öğrenmesi (Machine Learning),Veri Bilimi Okulu,11314,4.6,969,717,194,38,10,10
Course_1,Instructor_2,4601,4.8,213,164,45,4,0,0
Course_2,Instructor_3,3171,4.7,856,582,205,51,9,9
Veri Bilimi için İstatistik: Python ile İstatistik,Veri Bilimi Okulu,929,4.5,126,88,26,9,0,3
A'dan Z'ye Apache Spark (Scala & Python),Veri Bilimi Okulu,6920,4.7,214,154,41,13,2,4
Modern R Programlama Eğitimi,Veri Bilimi Okulu,6537,4.4,901,559,252,72,9,9
İleri Düzey Excel|Dashboard|Excel İp Uçları,Veri Bilimi Okulu,9554,4.8,2266,1654,499,91,22,0
Course_3,Instructor_4,24809,4.3,250,95,87,51,12,5
Course_4,Instructor_5,1901,4.3,376,218,113,34,8,3
Course_5,Instructor_6,6056,4.7,144,82,46,12,1,3
Uçtan Uca SQL Server Eğitimi,Veri Bilimi Okulu,12893,4.7,2425,1722,510,145,24,24
Uygulamalarla SQL Öğreniyorum,Veri Bilimi Okulu,11397,4.5,2353,1435,705,165,24,24
Course_6,Instructor_7,140,4.6,20,10,10,0,0,0
Course_7,Instructor_8,4204,3.8,66,38,13,11,2,2
Course_8,Instructor_9,1039,4.4,37,22,9,6,0,0
Alıştırmalarla SQL Öğreniyorum,Veri Bilimi Okulu,3155,4.8,235,200,31,4,0,0
Course_9,Instructor_3,12946,4.5,3371,2191,877,203,33,67
Course_10,Instructor_10,723,4.5,130,68,47,9,3,3
A'dan Z'ye Uygulamalı Hadoop ve Büyük Veri Eğitimi,Veri Bilimi Okulu,3062,4.4,169,122,29,13,2,3
Course_11,Instructor_11,444,4.2,13,7,3,3,0,0
Course_12,Instructor_12,98,4.0,19,7,7,2,1,2
Course_13,Instructor_12,185,3.4,42,9,11,16,3,3
Course_14,Instructor_9,6027,4.0,176,103,52,16,3,2
Course_15,Instructor_1,1164,4.6,98,65,24,6,0,3
Course_16,Instructor_13,2362,4.5,95,58,26,9,0,2
Course_17,Instructor_14,661,3.1,116,53,22,25,9,7
Course_18,Instructor_15,30,3.2,7,1,2,2,1,1
Course_19,Instructor_16,231,4.0,41,17,13,7,2,2
